Date,Open,High,Low,Close
05/22/2020,9067.9,9149.6,8968.55,9039.25
05/21/2020,9079.45,9178.55,9056.1,9106.25
05/20/2020,8889.15,9093.8,8875.35,9066.55
05/19/2020,8961.7,9030.35,8855.3,8879.1
05/18/2020,9158.3,9158.3,8806.75,8823.25
05/15/2020,9182.4,9182.4,9050,9136.85
05/14/2020,9213.95,9281.1,9119.75,9142.75
05/13/2020,9584.2,9584.5,9351.1,9383.55
05-12-2020,9168.85,9240.85,9043.95,9196.55
05-11-2020,9348.15,9439.9,9219.95,9239.2
05-08-2020,9376.95,9382.65,9238.2,9251.5
05-07-2020,9234.05,9277.85,9175.9,9199.05
05-06-2020,9226.8,9346.9,9116.5,9270.9
05-05-2020,9429.4,9450.9,9190.75,9205.6
05-04-2020,9533.5,9533.5,9266.95,9293.5
04/30/2020,9753.5,9889.05,9731.5,9859.9
04/29/2020,9408.6,9599.85,9392.35,9553.35
04/28/2020,9389.8,9404.4,9260,9380.9
04/27/2020,9259.7,9377.1,9250.35,9282.3
04/24/2020,9163.9,9296.9,9141.3,9154.4
04/23/2020,9232.35,9343.6,9170.15,9313.9
04/22/2020,9026.75,9209.75,8946.25,9187.3
04/21/2020,9016.95,9044.4,8909.4,8981.45
04/20/2020,9390.2,9390.85,9230.8,9261.85
04/17/2020,9323.45,9324,9091.35,9266.75
04/16/2020,8851.25,9053.75,8821.9,8992.8
04/15/2020,9196.4,9261.2,8874.1,8925.3
04/13/2020,9103.95,9112.05,8912.4,8993.85
04-09-2020,8973.05,9128.35,8904.55,9111.9
04-08-2020,8688.9,9131.7,8653.9,8748.75
04-07-2020,8446.3,8819.4,8360.95,8792.2
04-03-2020,8356.55,8356.55,8055.8,8083.8
04-01-2020,8584.1,8588.1,8198.35,8253.8
03/31/2020,8529.35,8678.3,8358,8597.75
03/30/2020,8385.95,8576,8244,8281.1
03/27/2020,8949.1,9038.9,8522.9,8660.25
03/26/2020,8451,8749.05,8304.9,8641.45
03/25/2020,7735.15,8376.75,7714.75,8317.85
03/24/2020,7848.3,8036.95,7511.1,7801.05
03/23/2020,7945.7,8159.25,7583.6,7610.25
03/20/2020,8284.45,8883,8178.2,8745.45
03/19/2020,8063.3,8575.45,7832.55,8263.45
03/18/2020,9088.45,9127.55,8407.05,8468.8
03/17/2020,9285.4,9403.8,8915.6,8967.05
03/16/2020,9587.8,9602.2,9165.1,9197.4
03/13/2020,9107.6,10159.4,8555.15,9955.2
03-12-2020,10039.95,10040.75,9508,9590.15
03-11-2020,10334.3,10545.1,10334,10458.4
03-09-2020,10742.05,10751.55,10294.45,10451.45
03-06-2020,10942.65,11035.1,10827.4,10989.45
03-05-2020,11306.05,11389.5,11244.6,11269
03-04-2020,11351.35,11356.6,11082.15,11251
03-03-2020,11217.55,11342.25,11152.55,11303.3
03-02-2020,11387.35,11433,11036.25,11132.75
02/28/2020,11382,11384.8,11175.05,11201.75
02/27/2020,11661.25,11663.85,11536.7,11633.3
02/26/2020,11738.55,11783.25,11639.6,11678.5
02/25/2020,11877.5,11883.05,11779.9,11797.9
02/24/2020,12012.55,12012.55,11813.4,11829.4
02/20/2020,12119,12152,12071.45,12080.85
02/19/2020,12090.6,12134.7,12042.1,12125.9
02/18/2020,12028.25,12030.75,11908.05,11992.5
02/17/2020,12131.8,12159.6,12037,12045.8
02/14/2020,12190.15,12246.7,12091.2,12113.45
02/13/2020,12219.55,12225.65,12139.8,12174.65
02-12-2020,12151,12231.75,12144.3,12201.2
02-11-2020,12108.4,12172.3,12099,12107.9
02-10-2020,12102.35,12103.55,11990.75,12031.5
02-07-2020,12151.15,12154.7,12073.95,12098.35
02-06-2020,12120,12160.6,12084.65,12137.95
02-05-2020,12005.85,12098.15,11953.35,12089.15
02-04-2020,11786.25,11986.15,11783.4,11979.65
02-03-2020,11627.45,11749.85,11614.5,11707.9
02-01-2020,11939,12017.35,11633.3,11661.85
01/31/2020,12100.4,12103.55,11945.85,11962.1
01/30/2020,12147.75,12150.3,12010.6,12035.8
01/29/2020,12114.9,12169.6,12103.8,12129.5
01/28/2020,12148.1,12163.55,12024.5,12055.8
01/27/2020,12197.1,12216.6,12107,12119
01/24/2020,12174.55,12272.15,12149.65,12248.25
01/23/2020,12123.75,12189,12094.1,12180.35
01/22/2020,12218.35,12225.05,12087.9,12106.9
01/21/2020,12195.3,12230.05,12162.3,12169.85
01/20/2020,12430.5,12430.5,12216.9,12224.55
01/17/2020,12328.4,12385.45,12321.4,12352.35
01/16/2020,12347.1,12389.05,12315.8,12355.5
01/15/2020,12349.4,12355.15,12278.75,12343.3
01/14/2020,12333.1,12374.25,12308.7,12362.3
01/13/2020,12296.7,12337.75,12285.8,12329.55
01-10-2020,12271,12311.2,12213.2,12256.8
01-09-2020,12153.15,12224.05,12132.55,12215.9
01-08-2020,11939.1,12044.95,11929.6,12025.35
01-07-2020,12079.1,12152.15,12005.35,12052.95
01-06-2020,12170.6,12179.1,11974.2,11993.05
01-03-2020,12261.1,12265.6,12191.35,12226.65
01-02-2020,12198.55,12289.9,12195.25,12282.2
01-01-2020,12202.15,12222.2,12165.3,12182.5
12/31/2019,12247.1,12247.1,12151.8,12168.45
12/30/2019,12274.9,12286.45,12213.8,12255.85
12/27/2019,12172.9,12258.45,12157.9,12245.8
12/26/2019,12211.85,12221.55,12118.85,12126.55
12/24/2019,12269.25,12283.7,12202.1,12214.55
12/23/2019,12235.45,12287.15,12213.25,12262.75
12/20/2019,12266.45,12293.9,12252.75,12271.8
12/19/2019,12223.4,12268.35,12191.15,12259.7
12/18/2019,12197,12237.7,12163.45,12221.65
12/17/2019,12082.45,12182.75,12070.35,12165
12/16/2019,12131.35,12134.65,12046.3,12053.95
12/13/2019,12026.4,12098.85,12023.6,12086.7
12-12-2019,11944.3,12005.5,11934,11971.8
12-11-2019,11867.35,11923.2,11832.3,11910.15
12-10-2019,11950.5,11953.2,11844.7,11856.8
12-09-2019,11939.1,11981.95,11888.05,11937.5
12-06-2019,12047.35,12057.05,11888.85,11921.5
12-05-2019,12071.25,12081.2,11998.75,12018.4
12-04-2019,11969.95,12054.7,11935.3,12043.2
12-03-2019,12067.65,12068.6,11956.4,11994.2
12-02-2019,12137.05,12137.15,12023.7,12048.2
11/29/2019,12146.2,12147.4,12017.4,12056.05
11/28/2019,12132.1,12158.8,12099.95,12151.15
11/27/2019,12068.5,12114.9,12055.15,12100.7
11/26/2019,12110.2,12132.45,12006.35,12037.7
11/25/2019,11922.45,12084.5,11919.75,12073.75
11/22/2019,11967.3,11968.1,11883.5,11914.4
11/21/2019,12025.65,12028.2,11956.9,11968.4
11/20/2019,12004.75,12038.6,11966.05,11999.1
11/19/2019,11919.45,11958.85,11881.75,11940.1
11/18/2019,11915.15,11946.2,11867.6,11884.5
11/15/2019,11904.2,11973.65,11879.25,11895.45
11/14/2019,11858.75,11895.65,11802.65,11872.1
11/13/2019,11908.3,11946.8,11823.2,11840.45
11-11-2019,11879.2,11932.65,11853.95,11913.45
11-08-2019,11987.15,12034.15,11888.75,11908.15
11-07-2019,12021.1,12021.4,11946.85,12012.05
11-06-2019,11911.5,12002.9,11850.25,11966.05
11-05-2019,11974.6,11978.95,11861.9,11917.2
11-04-2019,11928.9,11989.15,11905.35,11941.3
11-01-2019,11886.6,11918.3,11843.35,11890.6
10/31/2019,11890.45,11945,11855.1,11877.45
10/30/2019,11883.9,11883.95,11784.45,11844.1
10/29/2019,11643.95,11809.4,11627.35,11786.85
10/27/2019,11662.25,11672.4,11604.6,11627.15
10/25/2019,11661.65,11646.9,11490.75,11583.9
10/24/2019,11661.65,11679.6,11534.65,11582.6
10/23/2019,11596.2,11651.6,11554.4,11604.1
10/22/2019,11657.15,11714.35,11573.65,11588.35
10/18/2019,11466.3,11684.7,11553.15,11661.85
10/17/2019,11466.3,11599.1,11439.65,11586.35
10/16/2019,11464.95,11481.05,11411.1,11464
10/15/2019,11360.85,11462.35,11342.1,11428.3
10/14/2019,11335.9,11420.45,11290.05,11341.15
10-11-2019,11257.7,11362.9,11189.4,11305.05
10-10-2019,11280.5,11293.35,11208.55,11234.55
10-09-2019,11152.95,11321.6,11090.15,11313.3
10-07-2019,11196.2,11233.85,11112.65,11126.4
10-04-2019,11388.45,11400.3,11158.35,11174.75
10-03-2019,11322.25,11370.4,11257.35,11314
10-01-2019,11515.4,11554.2,11247.9,11359.9
09/30/2019,11491.15,11508.25,11390.8,11474.45
09/27/2019,11556.35,11593.6,11499.75,11512.4
09/26/2019,11469.85,11610.85,11466.35,11571.2
09/25/2019,11564.85,11564.95,11416.1,11440.2
09/24/2019,11590.7,11655.05,11539.2,11588.2
09/23/2019,11542.7,11694.85,11471.35,11600.2
09/20/2019,10746.8,11381.9,10691,11274.2
09/19/2019,10845.2,10845.2,10670.25,10704.8
09/18/2019,10872.8,10885.15,10804.85,10840.65
09/17/2019,11000.1,11000.1,10796.5,10817.6
09/16/2019,10994.85,11052.7,10968.2,11003.5
09/13/2019,10986.8,11084.45,10945.75,11075.9
09-12-2019,11058.3,11081.75,10964.95,10982.8
09-11-2019,11028.5,11054.8,11011.65,11035.7
09-09-2019,10936.7,11028.85,10889.8,11003.05
09-06-2019,10883.8,10957.05,10867.45,10946.2
09-05-2019,10860.95,10920.1,10816,10847.9
09-04-2019,10790.4,10858.75,10746.35,10844.65
09-03-2019,10960.95,10967.5,10772.7,10797.9
08/30/2019,10987.8,11042.6,10874.8,11023.25
08/29/2019,10996.05,11021.1,10922.4,10948.3
08/28/2019,11101.3,11129.65,10987.65,11046.1
08/27/2019,11106.55,11141.75,11049.5,11105.35
